isbn10,title,subtitle,author_first,author_last,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
1400032717,The curious incident of the dog in the night-time,a novel,Mark,Haddon,Fiction,,"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother.",2003,3.87,226,991627
0743454537,My Sister's Keeper,A Novel,Jodi,Picoult,Fiction,http://books.google.com/books/content?id=vGZSso_uyWsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A popular novel about a girl suing her parents because they want her to donate a kidney to her sister was named by the American Library Association as one of the top 10 books banned in 2009, with the novel being pulled from the shelves for a host of reasons, including homosexuality, sexually explicit material, religious viewpoint, drugs and suicide. Reprint. A best-selling book.",2005,4.07,423,950402
038549081X,The Handmaid's Tale,,Margaret,Atwood,Fiction,http://books.google.com/books/content?id=4QXnYRaBUFAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A chilling look at the near future presents the story of Offred, a Handmaid in the Republic of Gilead, once the United States, an oppressive world where women are no longer allowed to read and are valued only as long as they are viable for reproduction. Reissue.",1998,4.09,344,932832
0450040186,The Shining,,Stephen,King,Boys,http://books.google.com/books/content?id=tVt-uQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Danny is only five years old, but he is a 'shiner', aglow with psychic voltage. When his father becomes caretaker of an old hotel, his visions grow out of control. Cut off by blizzards, the hotel seems to develop an evil force, and who are the mysterious guests in the supposedly empty hotel?",1977,4.21,447,911271
0439244196,Holes,,Louis,Sachar,Blind,http://books.google.com/books/content?id=ISFr-QqgHUYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Newbery Medal Award Winner 1999.,1998,3.95,233,844072
0141439475,"Frankenstein, Or, The Modern Prometheus",,Mary,Shelley,Fiction,http://books.google.com/books/content?id=6W24a29p9GQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Edited by Maurice Hindle.,2002,3.78,335,827747
074324754X,The Glass Castle,A Memoir,Jeannette,Walls,Biography & Autobiography,http://books.google.com/books/content?id=V8kznwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the tradition of Mary Karr's ""The Liars' Club"" and Rick Bragg's ""All Over But the Shouting,"" Walls has written a stunning and life-affirming memoir about surviving a willfully impoverished, eccentric, and severely misguided family.",2006,4.26,288,752358
0517189607,The Secret Garden,,Frances,Burnett,Juvenile Fiction,http://books.google.com/books/content?id=oGNbnTQdiJ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,1998,4.13,331,725384
0393970124,Dracula,"Authoritative Text, Backgrounds, Reviews and Reactions, Dramatic and Film Variations, Criticism",Bram,Stoker,Fiction,,This Norton Critical Edition presents fully annotated the text of the 1897 First Edition.,1997,3.99,488,724147
0307275558,The Devil Wears Prada,,Lauren,Weisberger,Fiction,http://books.google.com/books/content?id=jgnS-R9qNU8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A small-town girl fresh out of an Ivy League college lands a job at a prestigious fashion magazine, but wonders if the glamorous perks are worth working for the editor from hell.",2006,3.73,432,723487
0375751513,The Picture of Dorian Gray,,Oscar,Wilde,Fiction,http://books.google.com/books/content?id=kIcZKBNaQtIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The handsome appearance of dissolute young Dorian Gray remains unchanged while the features in his portrait become distorted as his degeneration progresses,1998,4.07,367,705175
0141439602,A Tale of Two Cities,,Charles,Dickens,Fiction,http://books.google.com/books/content?id=-SalMNeuN5sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Edited with an Introduction and Notes by Richard Maxwell.,2003,3.83,489,693045
0345418263,The Princess Bride,S. Morgenstern's Classic Tale of True Love and High Adventure,William,Goldman,Fiction,http://books.google.com/books/content?id=RkFBPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this 30th anniversary edition, Goldman frames the famous fairy tale with an ""autobiographical"" story: his father abridged the book as he read it to his son. Now, Goldman is publishing an abridged version, interspersed with comments on the parts he cut out.",2003,4.26,398,673146
0440498058,A Wrinkle in Time,,Madeleine,L'Engle,Juvenile Fiction,http://books.google.com/books/content?id=JHXd-tEJSxsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A midnight visitor escorts Meg, Calvin, and Charles across the barriers of space and time to another world.",1973,4.01,211,665242
0751529818,Tuesdays with Morrie,"An Old Man, a Young Man, and Life's Greatest Lesson",Mitch,Albom,Amyotrophic lateral sclerosis,http://books.google.com/books/content?id=LXkCKQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Maybe it was a grandparent, or a teacher, or a colleague. Someone older, patient and wise, who understood you when you were young and searching, helped you see the world as a more profound place, gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago. Maybe, like Mitch, you lost track of this mentor as you made your way, and the insights faded, and the world seemed colder. Wouldn't you like to see that person again, ask the bigger questions that still haunt you, receive wisdom for your busy life today the way you once did when you were younger? Mitch Albom had that second chance. He rediscovered Morrie in the last months of the older man's life. Knowing he was dying, Morrie visited with Mitch in his study every Tuesday, just as they used to back in college. Their rekindled relationship turned into one final ""class"": lessons in how to live.""--Back cover.",2003,4.09,210,651567
0440242940,Outlander,,Diana,Gabaldon,Fiction,http://books.google.com/books/content?id=lmFKUOJbXiEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Hurtled back through time more than two hundred years to Scotland in 1743, Claire Randall finds herself caught in the midst of an unfamiliar world torn apart by violence, pestilence, and revolution and haunted by her growing feelings for James Fraser, a young soldier. Reissue.",2005,4.22,850,627194
0553381695,A Clash of Kings,,George,Martin,Fiction,http://books.google.com/books/content?id=NnE07xtwhqYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With his estate divided and his family scattered, Lord Eddard Stark returns to his territory to fight an ancient spell that is slowly devouring what is left of his land. Reprint.",2002,4.41,969,599010
0786856866,"The Percy Jackson and the Olympians, Book Two: Sea of Monsters",,Rick,Riordan,Juvenile Fiction,http://books.google.com/books/content?id=GqJZvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Percy Jackson and the Olympians, Book Two: Sea of Monsters, The",2006,4.24,279,594249
0451528824,Anne of Green Gables,,Lucy,Montgomery,Fiction,http://books.google.com/books/content?id=n92H8Sb-tKgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Everyone's favorite redhead, the spunky Anne Shirley, begins her adventures at Green Gables, a farm outside Avonlea, Prince Edward Island. When the freckled girl realizes that the elderly Cuthberts wanted to adopt a boy instead, she begins to try to win them?and, consequently, the reader?over.",2003,4.24,320,583568
0521618746,Hamlet,,William,Shakespeare,Juvenile Nonfiction,http://books.google.com/books/content?id=5m2UPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This edition of Hamlet is part of the groundbreaking Cambridge School Shakespeare series established by Rex Gibson. Remaining faithful to the series' active approach it treats the play as a script to be acted, explored and enjoyed. As well as the complete script of the play, you will find a variety of classroom-tested activities, an eight-page colour section and a selection of notes including information on characters, performance, history and language.",2005,4.01,289,577429
0307265439,The Road,,Cormac,McCarthy,Fiction,http://books.google.com/books/content?id=eMq_lTq6fUgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a novel set in an indefinite, futuristic, post-apocalyptic world, a father and his young son make their way through the ruins of a devastated American landscape, struggling to survive and preserve the last remnants of their own humanity. 250,000 first printing.",2006,3.96,241,574745
0743477103,Macbeth,,William,Shakespeare,Drama,http://books.google.com/books/content?id=wemvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater.",2003,3.89,246,560816
0451525264,Les Miserables a New Unabridged Translation,,Victor,Hugo,Fiction,http://books.google.com/books/content?id=x1mNsVDyoSAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After nineteen years in prison, Jean Valjean has difficulty adjusting to the outside world, which scorns and shuns him",1987,4.16,1463,559595
0143038095,The Joy Luck Club,,Amy,Tan,Fiction,http://books.google.com/books/content?id=2mgnEzzaJrIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughter's memories and feelings.",2006,3.91,288,550264
0060531045,One Hundred Years of Solitude,,Gabriel,Garcia-Marquez,Fiction,http://books.google.com/books/content?id=pgPWOaOctq8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the 20th century's enduring works, One Hundred Years of Solitude is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement in a Nobel Prize–winning career. The novel tells the story of the rise and fall of the mythical town of Macondo through the history of the Buendía family. It is a rich and brilliant chronicle of life and death, and the tragicomedy of humankind. In the noble, ridiculous, beautiful, and tawdry story of the Buendía family, one sees all of humanity, just as in the history, myths, growth, and decay of Macondo, one sees all of Latin America. Love and lust, war and revolution, riches and poverty, youth and senility -- the variety of life, the endlessness of death, the search for peace and truth -- these universal themes dominate the novel. Whether he is describing an affair of passion or the voracity of capitalism and the corruption of government, Gabriel García Márquez always writes with the simplicity, ease, and purity that are the mark of a master. Alternately reverential and comical, One Hundred Years of Solitude weaves the political, personal, and spiritual to bring a new consciousness to storytelling. Translated into dozens of languages, this stunning work is no less than an accounting of the history of the human race.",2003,4.06,417,547207
0349113912,Me Talk Pretty One Day,,David,Sedaris,Education,http://books.google.com/books/content?id=5zGGPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"David Sedaris moved from New York to Paris where he attempted to learn French. His teacher, a sadist, declared that every day spent with him was like giving birth the Caesarean way! These hilarious essays were inspired by that move.",2002,3.98,272,546269
0394800168,Green Eggs and Ham,,Theodor,Seuss,Juvenile Fiction,http://books.google.com/books/content?id=VTolm6HG2EgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Sam-I-Am tries to persuade his friend to try green eggs and ham.,1960,4.3,62,539202
0345339738,The Fellowship of the Ring,Being the First Part of the Lord of the Rings,J.R.R.,Tolkien,Fantasy fiction,http://books.google.com/books/content?id=jECp6elJjE4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a sleepy village in the Shire, a young hobbit, Frodo Baggins, is entrusted by the wizard Gandalf with an immense task: he must make a perilous journey across Middle-earth to the Crack of Doom, there to destroy the Ruling Ring of Power, the only thing that prevents the Dark Lord Sauron's evil dominion.",2012,4.52,490,532629
0451207149,The pillars of the earth,,Ken,Follett,Fiction,http://books.google.com/books/content?id=HdTZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A story of passion and idealism, which describes a group of men and women in the Middle Ages whosedestinies are fatefully linked with the building of a cathedral.",2002,4.31,973,530446
0312422156,Middlesex,A Novel,Jeffrey,Eugenides,Fiction,http://books.google.com/books/content?id=twDVs4UIU_kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Calliope's friendship with a classmate and her sense of identity are compromised by the adolescent discovery that she is a hermaphrodite, a situation with roots in her grandparents' desperate struggle for survival in the 1920s. By the author of The Virgin Suicides.Reader's Guide available. Reprint. 100,000 first printing.",2003,3.99,529,526111
0192833596,Great Expectations,,Charles,Dickens,Fiction,http://books.google.com/books/content?id=HByVN01euAAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Presents the classic story of the orphan Pip, the convict Magwitch, the beautiful Estella, and her guardian, the embittered Miss Havisham",1998,3.76,505,523790
0582418275,The Firm,,John,Grisham,Fiction,http://books.google.com/books/content?id=0qI5ngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Mitch McDeere, a Harvard Law graduate, becomes suspicious of his Memphis tax firm when mysterious deaths, obsessive office security, and the Chicago mob figure into its operations.",1999,4,76,522946
0143037145,The Memory Keeper's Daughter,,Kim,Edwards,Fiction,http://books.google.com/books/content?id=2yOkyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a tale spanning twenty-five years, a doctor delivers his newborn twin daughter during a snowstorm and, rashly deciding to protect his wife from the baby's affliction with Down Syndrome, turns her over to a nurse, who secretly raises the child. A first novel. Reader's Guide included. Reprint. 100,000 first printing.",2006,3.65,401,519878
0141439580,Emma,,Jane,Austen,Fiction,http://books.google.com/books/content?id=6-ndr-0EMycC&printsec=frontcover&img=1&zoom=1&source=gbs_api,New chronology and further reading; Tony Tanner's original introduction reinstated Edited with an introduction and notes by Flora Stafford.,2002,3.99,474,519245
055358202X,A Feast for Crows,,George,Martin,Fiction,http://books.google.com/books/content?id=Uj6FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The uneasy peace that exists following the death of Robb Stark is threatened by new plots, intrigues, and alliances that once again will plunge the Seven Kingdoms into all-out war for control of the Iron Throne.",2006,4.13,1061,491147
0312353766,The Red Tent,A Novel,Anita,Diamant,Fiction,http://books.google.com/books/content?id=Saqfl3hXqfEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Based on the Book of Genesis, Dinah shares her perspective on religous practices and sexul politics.",2005,4.17,336,453899
031232118X,Something Borrowed,,Emily,Giffin,Fiction,http://books.google.com/books/content?id=ekrNJWcrsvgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After a night of indiscriminate partying, Rachel sleeps with a close friend's fianc and is consumed with guilt, until the intensity of her feelings forces her to make a difficult choice. A first novel. 50,000 first printing.",2004,3.84,322,439930
0671727796,The Color Purple,,Alice,Walker,Fiction,http://books.google.com/books/content?id=kCIGPi0G49cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The lives of two sisters--Nettie, a missionary in Africa, and Celie, a southern woman married to a man she hates--are revealed in a series of letters exchanged over thirty years",1985,4.19,295,425928
0066238501,The Chronicles of Narnia (adult),,C.S.,Lewis,Fiction,http://books.google.com/books/content?id=3VGkK_F9thYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Journeys to the end of the world, fantastic creatures, and epic battles between good and evil -- what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia. For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations. This edition presents all seven books -- unabridged -- in one impressive volume. The books are presented here according to Lewis' preferred order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.",2001,4.26,767,425445
0192802631,Persuasion,,Jane,Austen,Fiction,http://books.google.com/books/content?id=lpD5anvUaRUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The romance between Captain Wentworth and Anne, the daughter of Sir Walter Elliot, seems doomed because of the young man's family connections and lack of wealth.",2004,4.13,249,421344
0743227441,The Other Boleyn Girl,,Philippa,Gregory,Fiction,http://books.google.com/books/content?id=mx8-sy_e6r8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The #1 New York Times bestseller from “the queen of royal fiction” (USA TODAY) Philippa Gregory is a rich, compelling novel of love, sex, ambition, and intrigue surrounding the Tudor court of Henry VIII, Anne Boleyn, and the infamous Boleyn family. When Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of the handsome and charming Henry VIII. Dazzled by the king, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realizes just how much she is a pawn in her family’s ambitious plots as the king’s interest begins to wane, and soon she is forced to step aside for her best friend and rival: her sister, Anne. With her own destiny suddenly unknown, Mary realizes that she must defy her family and take fate into her own hands. With more than one million copies in print and adapted for the big screen, The Other Boleyn Girl is a riveting historical drama. It brings to light a woman of extraordinary determination and desire who lived at the heart of the most exciting and glamorous court in Europe, and survived a treacherous political landscape by following her heart.",2001,4.05,661,408775
0739461192,Marley and me : love and life with the world's worst dog,,John,Grogan,Labrador retriever,http://books.google.com/books/content?id=IDUYoCOVRx8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"John and Jenny were just beginning their life together. They were young and in love, with a perfect little house and not a care in the world. Then they brought home Marley, a wriggly yellow furball of a puppy. Life would never be the same. Marley quickly grew into a barreling, ninety-seven-pound streamroller of a Labrador retriever. He crashed through screen doors, gouged through drywall, and stole women's undergarments. Obedience school did no good--Marley was expelled. And yet his heart was pure. Just as Marley joyfully refused any limits on his behavior, his love and loyalty were boundless, too. A dog like no other, Marley remained steadfast, a model of devotion, even when his family was at its wit's end. Unconditional love, they would learn, comes in many forms.",2005,4.13,291,406585
0312360266,Marked,A House of Night Novel,P.C. ,Cast,Juvenile Fiction,http://books.google.com/books/content?id=hcrXAQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Sixteen-year-old Zoey Redbird is Marked as a fledging vampyre and joins the House of Night where she will train to become an adult vampyre.,2007,3.8,306,388266
0743269519,The 7 Habits of Highly Effective People,Powerful Lessons in Personal Change,Stephen,Covey,Self-Help,http://books.google.com/books/content?id=NWN2xAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In The 7 Habits of Highly Effective People, author Stephen R. Covey presents a holistic, integrated, principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes, Covey reveals a step-by-step pathway for living with fairness, integrity, service, and human dignity—principles that give us the security to adapt to change and the wisdom and power to take advantage of the opportunities that change creates.",2004,4.09,372,387431
0393327345,Fight Club: A Novel,,Chuck,Palahniuk,Fiction,http://books.google.com/books/content?id=SzfvHXu_5t8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In a confusing world poised on the brink of mayhem, Tyler Durden, a projectionist, waiter, and anarchic genius, comes up with an idea to create clubs in which young men can escape their humdrum existence and prove themselves in barehanded fights. Reprint. 50,000 first printing.",2005,4.2,218,384407
0440227534,Number the Stars,,Lois,Lowry,Juvenile Fiction,http://books.google.com/books/content?id=IMZWoB8CWXMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In 1943, during the German occupation of Denmark, ten-year-old Annemarie learns how to be courageous and resourceful as she helps shelter her Jewish friend from the Nazis. Reprint. Newbery Medal Winner. AB. SLJ. K. H.",1989,4.13,137,379669
038572179X,Atonement,A Novel,Ian,McEwan,Fiction,http://books.google.com/books/content?id=vZy0xrEHJRUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event involving her sister Cecilia and her childhood friend Robbie Turner, and she becomes the victim of her own imagination, which leads her on a lifelong search for truth and absolution.",2003,3.89,351,379336
0061139378,Coraline,,Neil,Gaiman,Fiction,http://books.google.com/books/content?id=pXlAY0XnrQUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,In Coraline's family's new flat there's a locked door. On the other side is a brick wall—until Coraline unlocks the door . . . and finds a passage to another flat in another house just like her own. Only different. The food is better there. Books have pictures that writhe and crawl and shimmer. And there's another mother and father there who want Coraline to be their little girl. They want to change her and keep her with them. . . . Forever. Coraline is an extraordinary fairy tale/nightmare from the uniquely skewed imagination of #1 New York Times bestselling author Neil Gaiman.,2006,4.05,162,377685
0060853980,Good Omens,"The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil,Gaiman,Fiction,http://books.google.com/books/content?id=7erEbfDOcgkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"According to The Nice and Accurate Prophecies of Agnes Nutter, Witch (the world's only completely accurate book of prophecies, written in 1655, before she exploded), the world will end on a Saturday. Next Saturday, in fact. Just before dinner. So the armies of Good and Evil are amassing, Atlantis is rising, frogs are falling, tempers are flaring. Everything appears to be going according to Divine Plan. Except a somewhat fussy angel and a fast-living demon—both of whom have lived amongst Earth's mortals since The Beginning and have grown rather fond of the lifestyle—are not actually looking forward to the coming Rapture. And someone seems to have misplaced the Antichrist . . .",2006,4.25,412,373135
0743477545,A Midsummer Night's Dream,,William,Shakespeare,Drama,http://books.google.com/books/content?id=axN5DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Shakespeare's popular comedy of love and mistaken identity is accompanied by a section on reading Shakespeare's language, information on Shakespeare's life and theater, explanatory notes, annotated reading lists, and an essay",1993,3.94,298,371813
0142000655,East of Eden,,John,Steinbeck,Fiction,http://books.google.com/books/content?id=R-5VFSu9aIkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The biblical account of Cain and Abel is echoed in the history of two generations of the Trask family in California.,2002,4.37,601,358668
